category,subcategory_id,description_de,description_en
finanziell,ganzheitliche_betreuung_SGBII,"Ganzheitliche Betreuung, Coaching zum Aufbau der Beschäftigungsfähigkeit (Arbeitsagentur)","Ganzheitliche Betreuung, Coaching zum Aufbau der Beschäftigungsfähigkeit (Arbeitsagentur)"
arbeit,ganzheitliche_betreuung_SGBII,"Ganzheitliche Betreuung, Coaching zum Aufbau der Beschäftigungsfähigkeit (Arbeitsagentur)","Ganzheitliche Betreuung, Coaching zum Aufbau der Beschäftigungsfähigkeit (Arbeitsagentur)"
finanziell,grundsicherungsgeld_SGBII,Bürgergeld (Jobcenter),Bürgergeld (Jobcenter)
bildung,bildung_teilhabe_SGBII,Leistungen für Bildung und Teilhabe (Arbeitsagentur),Leistungen für Bildung und Teilhabe (Arbeitsagentur)
finanziell,bildung_teilhabe_SGBII,Leistungen für Bildung und Teilhabe (Arbeitsagentur),Leistungen für Bildung und Teilhabe (Arbeitsagentur)
finanziell,unabweisbarer_bedarf_SGBII,"unabweisbarer Bedarf (zB. Reparatur, Einlagerung usw.)","unabweisbarer Bedarf (zB. Reparatur, Einlagerung usw.)"
finanziell,bildung_teilhabe_SGBII,"Sonderbedarf (zB. Erstausstattung Wohnung/Baby, orthopädische Schuhe, therapeuthische Geräte)","Sonderbedarf (zB. Erstausstattung Wohnung/Baby, orthopädische Schuhe, therapeuthische Geräte)"
wohnen,bildung_teilhabe_SGBII,"Sonderbedarf (zB. Erstausstattung Wohnung/Baby, orthopädische Schuhe, therapeuthische Geräte)","Sonderbedarf (zB. Erstausstattung Wohnung/Baby, orthopädische Schuhe, therapeuthische Geräte)"
kinder_familie,bildung_teilhabe_SGBII,"Sonderbedarf (zB. Erstausstattung Wohnung/Baby, orthopädische Schuhe, therapeuthische Geräte)","Sonderbedarf (zB. Erstausstattung Wohnung/Baby, orthopädische Schuhe, therapeuthische Geräte)"
finanziell,zuschuesse_kranken_pflegeversicherung_SGBII,Zuschüsse zur privaten Kranken- und Pflegeversicherung (Arbeitsagentur),Zuschüsse zur privaten Kranken- und Pflegeversicherung (Arbeitsagentur)
krankheit,zuschuesse_kranken_pflegeversicherung_SGBII,Zuschüsse zur privaten Kranken- und Pflegeversicherung (Arbeitsagentur),Zuschüsse zur privaten Kranken- und Pflegeversicherung (Arbeitsagentur)
finanziell,leistungen_auszubildende_SGBII,Leistungen für Auszubildende (Arbeitsagentur bzw. Jobcenter),Leistungen für Auszubildende (Arbeitsagentur bzw. Jobcenter)
bildung,leistungen_auszubildende_SGBII,Leistungen für Auszubildende (Arbeitsagentur bzw. Jobcenter),Leistungen für Auszubildende (Arbeitsagentur bzw. Jobcenter)
krankheit,praevention_SGBV,"Präventionsleistungen, z.B. Impfungen, Vorsorgeuntersuchungen, Gesundheitskurse (gesetzliche Krankenkasse)","Präventionsleistungen, z.B. Impfungen, Vorsorgeuntersuchungen, Gesundheitskurse (gesetzliche Krankenkasse)"
krankheit,schutzimpfungen_SGBV,Schutzimpfungen (gesetzliche Krankenkasse),Schutzimpfungen (gesetzliche Krankenkasse)
krankheit,prep_SGBV,"HIV-PrEP, auch Präexpositionsprophylaxe (gesetzliche Krankenkasse)","HIV-PrEP, auch Präexpositionsprophylaxe (gesetzliche Krankenkasse)"
krankheit,digitale_gesundheitskompetenz_SGBV,Leistungen zur digitalen Gesundheitskompetenz (gesetzliche Krankenkasse),Leistungen zur digitalen Gesundheitskompetenz (gesetzliche Krankenkasse)
krankheit,zahnprophylaxe_kinder_SGBV,Zahnprophylaxe bis zum 18. Lebensjahr (gesetzliche Krankenkasse),Zahnprophylaxe bis zum 18. Lebensjahr (gesetzliche Krankenkasse)
kinder_familie,zahnprophylaxe_kinder_SGBV,Zahnprophylaxe bis zum 18. Lebensjahr (gesetzliche Krankenkasse),Zahnprophylaxe bis zum 18. Lebensjahr (gesetzliche Krankenkasse)
krankheit,zahnprophylaxe_pflegebehinderung_SGBV,Zahnprophylaxe bei Pflegebedürftigen und Menschen mit Behinderungen (gesetzliche Krankenkasse),Zahnprophylaxe bei Pflegebedürftigen und Menschen mit Behinderungen (gesetzliche Krankenkasse)
pflege,zahnprophylaxe_pflegebehinderung_SGBV,Zahnprophylaxe bei Pflegebedürftigen und Menschen mit Behinderungen (gesetzliche Krankenkasse),Zahnprophylaxe bei Pflegebedürftigen und Menschen mit Behinderungen (gesetzliche Krankenkasse)
behinderung,zahnprophylaxe_pflegebehinderung_SGBV,Zahnprophylaxe bei Pflegebedürftigen und Menschen mit Behinderungen (gesetzliche Krankenkasse),Zahnprophylaxe bei Pflegebedürftigen und Menschen mit Behinderungen (gesetzliche Krankenkasse)
krankheit,medizinische_vorsorgeleistungen_SGBV,Medizinische Vorsorgeleistungen (gesetzliche Krankenkasse),Medizinische Vorsorgeleistungen (gesetzliche Krankenkasse)
